,address,description,name,value
1480,"School lane, Brookside, Nairobi, Nairobi",3 Bedrooms,Three Bedroom Apartment For Sale In Brookside Westlands,KSh 27000000
1481,"Ring Road, Kilimani, Kilimani, Nairobi, Nairobi",2 Bedrooms,"Kamirembe Place,Ring Road, Kilimani",KSh 21000000
1482,"Karen, Karen, Nairobi, Nairobi",2000 Land Size (m²),Suburban splendor! Karen Ndege prime half acre,KSh 35000000
1483,"Ruiru, Ruiru, Ruiru, Central",505 Land Size (m²),50x100 Land for sale  in Eden Ruiru Kamakis,KSh 3200000
1484,"Westlands, Nairobi, Nairobi",3 Bedrooms,Cedar Rd: Apartments - Westlands - Off Rapta Rd,KSh 24000000
1485,"Kiambu, Road Kiambu County, Riruta, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment / Flat For Sale In Kiambu,KSh 10500000
1486,"kiambu, Kiambu Road, Nairobi, Nairobi",23 Rooms (total),KIAMBU:HOTEL FOR SALE,KSh 120000000
1487,"Kitisuru, Nairobi, Nairobi",2023 Land Size (m²),"2023 Sqm Plot  of Land, Kitusuru",KSh 65000000
1488,"Hamisi Road, Kileleshwa, Nairobi, Nairobi",3 Bedrooms,Stunning Apartments In Kileleshwa(Under Construction),KSh 16900000
1489,"Kilimani, Lavington, Nairobi, Nairobi",5 Bedrooms,Gitanga Duplexes - 5 Bedroom All En Suite In Lavington,KSh 33000000
1490,"Westlands, Nairobi, Nairobi",4 Bedrooms,"Apartments 4 Bedrooms All En-Suite With Sq , For Sale Westlands, Off Genaral Mathenge Drive.",KSh 32000000
1491,"Golden Gate Estate, South B, Nairobi, Nairobi",3 Bedrooms,3 Bedroom House  with 4 Rental Units- South B,KSh 25000000
1492,"Ndovu road, Karen, Nairobi, Nairobi",10 Land Size (m²),Land for sale,Contact seller for price
1493,"It's along riverside drive, Riverside, Nairobi, Nairobi",3 Bedrooms,A 3 Bedroom Rm Fully Furnished Apartment For Sale In Riverside Drive.,KSh 35000000
1494,"Kileleshwa, Nairobi, Nairobi",3 Bedrooms,A New 3 Bedroom All En-Suite Apartment With Servants Quarter In Kileleshwa,KSh 26000000
1495,"Riabai Road, Lavington, Nairobi, Nairobi",4 Bedrooms,"4 Bedrooms All Ensuite For Sale In Lavington, Riara Road.",KSh 16500000
1496,"school lane, Brookside, Nairobi, Nairobi",2 Bedrooms,Westlands-High End 2 Bedroom Apartments For Sale.,KSh 24000000
1497,"Hatheru road off Gitanga road, Lavington, Nairobi, Nairobi",2 Bedrooms,The Terrace Apartments - Lavington,KSh 9900000
1498,"Watamu, Watamu, Coast",2023 Land Size (m²),Stunning Waterfront 0 5 Acre Plot of Land - Mida Creek,KSh 20000000
1499,"Kilimani, Nairobi, Nairobi",3 Bedrooms,Luxurious Houses For Sale At The Heart Of Kilimani,KSh 23000000
